,보증금액,월세금액,관리금액,권리금,층,면적
607,8000,800,0,8000,1,241.0
608,6000,430,30,0,1,99.17
609,900,95,0,2500,2,14.0
610,5000,220,10,6000,1,59.5
611,2000,120,12,13000,1,52.89
612,2000,120,10,4800,1,39.0
613,500,45,2,500,1,29.8
614,5000,480,40,0,1,115.01
615,1000,66,0,8000,1,19.83
616,2000,130,0,2800,1,23.14
618,5000,230,20,5000,1,99.17
619,3000,220,3,7500,1,33.06
620,5000,300,50,6500,-1,36.36
621,2700,232,30,4000,1,59.5
623,4000,150,0,5000,1,52.89
624,1000,60,0,4000,1,52.89
625,1500,70,3,8000,1,36.36
627,1000,140,5,4700,2,49.59
628,2000,85,0,2000,1,9.92
629,3000,100,0,1000,1,23.14
630,2000,120,3,4500,1,33.06
632,1000,70,5,3000,1,33.06
633,500,65,2,3200,1,46.28
636,2000,130,0,7000,-1,99.17
637,4000,180,5,15000,1,89.26
638,6000,180,30,10000,1,26.45
639,2000,90,0,2500,1,33.06
640,0,0,0,0,1,122.31
641,7000,600,15,3500,1,148.76
642,1500,110,5,0,1,36.4
643,2000,90,0,8500,1,49.59
644,3000,160,2,7000,1,66.0
645,3000,220,0,0,1,35.0
647,5000,240,5,1000,2,33.06
649,2000,176,0,12000,1,62.81
650,2000,130,6,10000,1,56.2
651,500,113,0,5000,2,23.14
652,3000,150,5,6000,1,49.59
656,1500,120,0,8500,1,56.25
657,500,50,0,5500,1,29.75
658,2500,230,7,11000,1,23.14
659,3000,290,10,13000,1,19.83
661,2000,200,10,7000,1,29.75
663,2000,160,10,4000,2,33.0
664,2000,220,13,7000,1,35.0
665,1000,73,0,0,1,19.8
666,1000,100,7,3000,1,23.14
667,3000,260,5,13000,1,79.34
669,1000,70,0,2500,1,16.53
670,7800,500,0,12200,1,82.64
671,3000,300,0,12000,1,99.17
672,4000,235,40,17000,1,33.06
673,2000,120,0,4000,1,29.75
674,500,30,15,2000,-1,23.14
675,5000,460,0,4500,-1,162.0
677,2000,165,0,7500,1,39.67
678,6000,500,0,15000,1,105.79
679,2000,130,10,6000,1,49.59
681,2500,120,1,12000,1,36.36
682,1500,50,1,1800,1,6.61
683,2000,150,0,5000,2,76.03
685,2000,200,0,5000,2,36.36
686,5000,300,0,10000,1,119.01
688,5000,300,0,7000,1,6.61
689,500,50,0,2000,1,13.22
692,3000,350,50,0,1,99.0
693,1000,100,10,3000,1,33.1
694,3000,427,0,2000,1,185.12
695,3000,220,10,8000,1,99.17
696,500,50,0,2000,1,26.45
697,2000,100,5,500,1,33.06
698,3000,260,3,15000,1,56.2
699,4000,170,5,2000,1,66.12
701,4000,290,0,15000,1,33.06
702,2000,110,2,4000,1,49.59
703,2000,230,0,7000,1,52.89
705,3000,270,10,8000,1,119.01
706,1000,90,0,5000,1,26.45
707,1000,90,5,2500,1,35.0
708,1000,80,0,3000,1,33.06
709,1000,73,10,3500,1,23.1
712,5000,344,16,10000,2,72.73
714,2000,185,0,7000,1,79.34
715,2500,140,0,5500,1,23.14
716,5000,400,43,2000,2,191.74
717,1000,100,28,1500,-1,33.06
718,1000,110,0,7000,2,99.17
720,2000,150,0,4000,1,72.73
721,5000,480,30,7000,1,76.0
722,4000,250,10,2000,1,63.5
723,2000,120,5,500,1,33.06
724,3000,260,10,12000,2,56.2
726,2000,180,20,8000,-1,142.15
727,8000,400,45,5000,1,39.67
728,2500,180,0,5000,1,62.81
729,1000,95,2,10000,1,26.45
730,5000,350,10,10000,1,69.42
731,1000,75,3,3000,-1,33.0
732,5500,190,10,7000,1,49.59
733,2000,100,0,2500,2,76.03
734,1000,150,3,5000,1,19.83
735,2000,140,10,7000,1,66.12
737,1000,130,0,3000,1,56.2
738,1500,75,10,2800,1,26.45
739,2000,90,0,2500,1,33.1
741,3500,250,0,8000,1,82.03
742,2500,150,5,0,1,37.4
743,2000,200,35,2500,1,33.06
744,2000,130,5,3000,-1,39.67
745,1500,90,10,2500,1,23.1
746,3000,200,5,12000,1,66.12
747,1500,100,0,15000,-1,45.29
748,8000,750,30,0,1,155.32
749,1000,65,0,4500,1,42.98
750,3000,120,3,3000,1,76.03
751,8000,380,17,0,1,57.9
752,1000,80,0,2300,1,19.8
754,4000,138,5,6000,1,26.45
755,1000,50,4,1000,1,16.53
756,3000,270,0,5000,1,88.0
757,3500,250,20,2000,1,91.28
758,3000,140,10,5000,1,52.89
759,1000,90,5,2000,-1,59.5
761,1000,110,5,0,1,30.0
763,1000,70,8,0,1,16.0
764,8287,552,68,0,2,214.9
765,2500,220,10,0,1,93.4
766,1000,50,1,1500,1,39.67
767,2000,100,6,2000,1,49.59
768,5000,300,10,15000,1,66.12
769,1000,100,10,3500,1,26.45
770,1500,170,35,8500,1,16.53
771,3000,180,45,4000,1,33.06
772,2000,110,18,7000,1,26.45
773,3000,180,15,5000,1,49.59
774,1000,70,0,6000,1,26.45
776,3000,250,15,0,1,79.34
777,4000,225,30,2500,-1,171.9
778,5000,260,15,5000,1,59.5
779,1500,110,0,3000,-1,39.67
780,3000,203,0,10000,1,42.98
781,500,60,2,3000,-1,56.2
782,1000,60,0,5000,1,23.14
783,2000,180,20,5000,1,59.5
785,900,85,35,4000,1,19.83
788,2000,100,5,500,1,33.1
790,5000,280,15,8000,-1,39.67
792,500,65,0,2000,1,49.59
793,3000,150,30,9000,1,46.28
794,5000,450,50,3000,-1,85.95
796,3000,250,0,0,1,66.1
798,2000,100,5,6000,1,33.06
799,2000,100,20,7000,1,23.14
801,1000,100,3,5000,1,22.86
803,3000,230,35,2000,1,36.36
804,8000,550,80,0,1,231.4
805,6000,400,50,0,1,82.6
806,3000,250,60,10000,2,52.89
807,3000,230,43,7000,-1,62.81
808,5000,400,20,0,1,94.46
809,1000,80,6,3000,1,26.45
810,1000,60,2,2500,1,33.06
811,3000,250,30,5000,1,23.14
812,3000,220,12,15000,1,33.06
813,5000,250,0,0,1,82.6
814,5000,470,0,0,1,181.8
816,3000,150,20,0,1,82.6
817,3000,150,15,0,1,30.0
818,5000,330,130,13000,1,42.98
819,1000,55,30,5000,-1,26.45
820,1000,120,10,3000,1,26.45
821,2500,220,5,9500,1,59.5
822,2000,190,9,5000,1,38.01
823,1200,60,3,4500,1,26.45
824,2000,136,8,8000,1,33.06
825,2000,170,0,2000,1,19.83
826,3000,330,30,9500,1,124.0
827,2000,143,0,19500,2,165.29
828,2200,150,4,2500,1,49.59
829,2000,130,0,4000,1,66.12
830,3000,270,18,17000,1,66.12
831,3000,130,4,2500,1,39.67
832,5000,150,0,0,1,101.12
834,500,30,1,2300,1,13.22
835,3000,270,20,8000,1,33.06
836,2000,120,0,6000,1,79.34
837,300,20,0,550,1,16.53
838,1000,70,3,1500,1,16.53
839,2000,180,5,5000,1,23.14
841,2000,230,20,4500,1,82.6
842,4000,280,15,12000,1,19.83
843,500,60,0,5000,1,33.06
844,1000,90,0,5000,1,56.2
846,2000,150,0,4000,1,33.06
847,500,175,0,6000,1,33.06
848,1000,104,35,2300,1,42.98
849,2500,220,10,2500,1,59.5
850,2500,190,45,11000,1,59.5
851,1000,120,8,2500,1,33.06
852,8000,600,10,5500,1,145.5
853,1500,110,10,2500,1,26.45
854,1000,60,0,1200,1,16.5
855,2000,90,6,5000,1,33.06
856,3000,180,15,3500,1,30.0
857,4000,200,0,13500,1,42.98
858,1500,90,0,4000,1,66.12
859,3000,230,8,19000,1,56.2
860,1000,70,10,2800,-1,33.06
861,5000,300,15,10000,1,33.06
862,500,70,0,4500,1,33.06
863,1000,110,60,3500,1,23.0
864,5000,270,65,8000,1,79.34
865,500,70,4,300,1,13.39
866,3000,160,10,8000,1,56.2
867,3000,220,0,0,1,33.06
869,5000,290,65,0,1,58.8
870,4500,350,13,0,1,59.5
871,5000,280,0,5000,1,23.1
872,2000,150,5,2000,1,33.1
873,1000,80,7,0,1,21.5
874,1500,130,15,3000,1,43.4
875,2000,100,0,13000,2,82.64
876,3000,210,0,5000,1,76.03
877,5000,250,15,6000,1,59.5
879,4000,280,40,15000,1,33.06
880,2000,220,10,10000,1,62.81
881,1000,120,0,5000,1,49.59
882,1000,80,5,1600,1,25.0
883,9000,150,30,5000,-1,89.26
884,5000,400,7,0,1,103.11
886,2000,120,5,3000,1,29.75
888,2000,120,10,9000,1,13.22
889,4500,220,2,5500,1,79.34
891,2500,350,0,15000,1,214.88
892,3000,210,20,15000,1,63.51
893,2000,160,30,3200,1,46.28
894,1000,130,3,4000,-1,33.06
895,1500,125,0,4500,1,56.2
896,1000,65,0,1000,1,33.06
898,3000,220,0,10000,1,59.0
899,3000,240,70,4000,1,26.45
900,2000,160,27,6000,1,33.06
901,3000,300,30,1500,1,26.45
902,5000,100,0,4000,1,62.81
903,1000,70,0,2500,1,26.45
906,8000,220,1,5000,1,26.45
907,3000,250,0,3000,1,33.06
908,3000,145,5,3000,1,36.36
909,3000,230,10,12000,1,26.45
910,3000,140,20,5000,1,46.28
911,2000,115,0,7000,1,59.5
913,5000,300,0,11000,1,82.64
914,4000,300,35,4000,1,35.57
915,3000,140,3,6000,1,29.75
916,5000,500,80,15000,1,89.26
918,3000,220,0,5000,1,85.95
919,4000,243,0,1000,1,92.56
920,2000,110,30,1000,1,19.84
921,3000,170,0,8000,1,30.0
922,2000,150,10,4500,1,40.48
923,2000,200,40,1700,1,26.45
924,2000,165,40,3500,1,39.67
925,1000,55,0,3000,1,19.83
926,3000,137,3,2000,1,36.36
927,6000,450,0,10000,1,89.26
929,1000,77,0,6000,1,26.44
930,2400,170,0,5000,1,33.06
932,400,50,0,2000,1,19.83
934,3000,150,0,7000,1,42.98
935,3000,300,10,0,1,52.27
936,1000,90,0,4000,1,33.06
938,7000,650,0,0,2,40.0
939,3500,230,40,0,-1,82.6
940,7000,550,30,0,1,88.2
941,1000,90,2,1500,1,33.06
942,1800,155,10,3500,1,59.5
943,5000,350,50,10000,1,112.4
944,3500,250,17,4200,1,132.23
945,5000,360,20,0,1,79.3
947,2000,180,10,350,1,39.0
948,2000,192,10,3000,1,52.89
949,2500,187,13,10000,2,95.87
950,5000,275,110,2600,-1,78.0
951,500,55,5,5000,1,19.83
952,1000,100,60,10000,-1,89.26
953,3000,300,30,15000,1,125.62
954,1500,150,90,2500,1,23.14
955,1500,330,24,3500,1,26.45
956,1000,120,0,0,1,37.0
958,3000,170,0,5000,-1,36.36
959,1000,60,0,3000,1,33.1
962,4000,280,50,4000,1,128.0
964,3000,170,0,7000,-1,33.06
965,2000,240,10,5500,1,39.67
966,3000,120,7,2500,1,36.36
967,2000,180,0,6000,2,56.2
968,3000,300,6,5000,1,69.42
969,3000,150,10,3500,1,26.45
970,1000,280,0,3500,-1,21.0
971,2000,120,25,5000,1,23.76
972,3000,132,0,7000,1,95.87
974,6000,400,32,17000,1,79.34
975,2000,250,10,1000,1,56.2
976,3000,270,0,10000,2,39.67
977,3000,120,0,0,1,59.5
978,2000,190,0,5000,1,99.17
979,2000,150,0,0,1,36.0
980,2000,180,0,4000,2,49.6
981,6000,380,20,0,1,135.5
982,1000,60,0,2000,1,29.8
983,5000,250,30,0,1,82.6
984,0,0,0,0,1,537.5
985,1500,125,5,13500,1,23.14
986,5000,200,13,500,1,53.97
987,1000,80,0,2500,1,27.0
988,3000,280,20,12000,-1,49.59
989,4000,220,35,2000,1,39.7
991,6000,330,20,13000,1,46.28
992,3000,341,30,5000,2,99.17
993,3000,220,0,10000,1,44.4
994,2000,148,10,12000,1,49.59
995,5500,268,20,3000,1,59.5
996,1500,80,0,2900,-1,41.84
997,4000,350,0,10000,1,55.73
998,5000,250,8,3000,1,42.31
999,1000,70,0,6000,1,13.22
1000,3000,120,0,3000,1,15.87
1001,1000,80,0,3000,1,33.06
1002,3000,150,5,3000,1,91.2
1004,5000,370,20,8000,1,59.5
1005,1000,80,0,10000,1,16.53
1006,1000,50,20,3000,1,26.45
1007,3000,240,10,0,1,66.1
1008,2000,150,0,0,1,49.6
1009,2000,110,0,0,1,17.0
1010,5000,300,0,4000,1,33.06
1011,5000,300,100,12000,1,39.67
1013,2000,225,5,8000,1,33.0
1015,2000,200,5,6000,1,56.52
1016,1000,70,15,2000,1,33.06
1017,2000,110,0,3500,1,33.1
1018,2000,170,0,1500,1,33.1
1019,3000,280,20,7000,1,23.14
1020,4000,207,0,14000,1,75.67
1021,4000,330,20,14000,1,16.53
1022,5000,600,60,10000,1,165.29
1023,2000,110,3,4000,1,38.94
1024,500,46,5,800,1,13.22
1025,5000,400,70,15000,1,59.5
1028,3000,155,20,3000,1,29.75
1029,1500,170,0,0,1,36.4
1030,3000,132,0,3000,1,33.06
1031,5000,160,0,5000,1,62.81
1032,1200,90,0,4000,1,42.98
1033,4000,330,50,5000,1,92.56
1034,2000,138,0,6000,1,26.45
1035,3000,250,5,5000,2,165.87
1036,3000,120,1,0,1,29.8
1037,1000,100,10,6000,1,78.0
1040,2500,150,0,1500,1,26.45
1041,5000,280,10,15000,1,80.99
1042,1000,77,0,2000,1,26.0
1043,1500,60,2,1500,1,33.06
1045,1000,60,0,2800,1,20.0
1046,1000,130,0,2000,1,33.06
1047,3000,190,2,2000,1,39.6
1048,1000,110,2,500,-1,82.64
1049,2000,160,10,4500,2,33.0
1050,2000,130,0,4500,1,59.5
1051,1000,80,5,3000,1,18.8
1052,2000,110,28,1000,-1,42.98
1053,4000,160,10,5000,1,46.28
1054,1500,100,4,2500,1,16.53
1055,1000,60,18,1500,-1,23.14
1056,1500,85,5,8000,1,29.75
1057,4750,300,85,17000,1,118.5
1060,3000,190,19,19000,1,85.95
1061,2000,180,0,10000,1,165.29
1062,3000,360,0,9500,1,129.41
1063,1700,135,10,15000,1,23.14
1064,5000,250,13,8000,1,36.36
1066,8000,460,10,0,1,99.0
1067,5000,350,10,1000,1,125.02
1068,1500,140,0,10000,1,109.09
1069,2300,100,5,2000,1,33.06
1070,1500,90,0,0,1,33.1
1071,5000,450,0,0,1,132.2
1072,4000,210,0,11000,1,29.75
1073,5000,217,5,4000,1,37.0
1074,1500,120,3,5500,1,46.28
1075,6000,350,30,0,1,33.06
1076,1500,130,5,3000,1,26.45
1077,3000,140,10,8000,1,33.06
1078,2000,140,50,3000,1,42.98
1079,500,50,25,2000,-1,9.92
1080,3000,243,0,4500,1,49.59
1081,8000,420,15,0,1,31.5
1082,3000,250,0,0,1,87.0
1083,2000,120,3,8000,1,39.1
1086,2000,210,12,3000,1,31.59
1087,3000,235,40,2000,1,49.6
1089,1200,130,0,1000,1,56.2
1090,2000,150,0,10000,1,26.45
1091,4000,230,25,4500,1,72.73
1092,2500,150,0,18000,1,82.64
1093,2500,184,24,2000,1,52.89
1094,1000,80,0,3000,1,33.06
1095,500,70,5,200,1,13.22
1096,2000,150,10,0,1,46.0
1097,5000,290,0,7000,1,66.1
1098,4000,270,30,4000,1,70.63
1099,1000,70,0,900,1,25.0
1100,1000,120,0,11000,1,52.89
1101,3000,150,15,5000,1,23.14
1103,1000,100,0,2000,1,29.75
1107,4000,300,3,15000,1,33.06
1109,1000,80,8,4000,1,29.75
1110,2000,230,0,4500,1,66.12
1111,5000,341,80,10000,1,29.75
1114,1000,60,3,1000,1,21.91
1115,1000,80,10,2400,1,33.06
1116,5000,350,0,0,1,110.0
1117,1000,80,0,1500,1,26.4
1118,3000,300,0,4500,1,21.0
1119,2000,200,45,5000,1,34.85
1120,1000,50,0,1000,1,33.06
1121,2000,130,5,2500,1,52.89
1122,1000,65,3,500,1,23.14
1124,2000,99,8,10000,1,31.3
1125,2000,110,5,4500,1,36.36
1126,1000,100,5,4000,1,49.59
1127,2000,175,7,7500,2,48.26
1128,2000,120,10,7000,1,21.45
1129,1000,75,0,2500,1,23.14
1130,3000,250,10,0,1,99.2
1131,1500,90,10,3500,1,56.2
1132,2000,150,0,10000,1,81.0
1133,5000,330,80,15000,1,148.76
1134,2000,180,0,13000,1,56.2
1135,3000,60,6,3000,1,23.14
1136,5000,310,0,5000,1,76.03
1137,2100,120,0,6500,1,19.8
1139,2000,150,10,5300,1,84.26
1140,1000,110,0,7000,1,23.14
1141,2000,150,5,4000,1,49.6
1142,3000,200,10,3000,1,39.67
1143,2000,140,0,2000,1,79.34
1144,0,0,7,0,1,43.54
1145,1500,105,2,3000,1,42.98
1146,8000,420,80,15000,1,69.42
1147,1000,60,15,3000,1,22.32
1149,2000,150,0,7000,1,29.75
1150,3000,130,0,2000,2,93.87
1151,1000,80,0,15000,1,39.67
1153,800,50,0,1500,1,16.53
1154,1500,90,0,4500,1,46.28
1155,2500,210,5,15000,1,66.12
1156,1000,85,0,8000,1,39.67
1157,1000,90,10,500,1,26.45
1159,1500,140,2,2000,1,36.36
1160,3000,165,0,15000,1,92.56
1161,1500,110,5,2460,1,26.45
1163,1000,105,5,3500,1,33.06
1164,3000,300,5,0,2,59.18
1165,1000,80,5,100,1,47.42
1166,5000,260,15,3000,1,52.9
1167,2000,80,0,3800,1,39.7
1168,2000,250,0,9000,1,82.64
1169,2000,90,0,1000,1,75.9
1170,2000,130,0,2500,1,79.34
1171,0,0,30,0,1,100.29
1172,6000,450,15,0,1,73.0
1173,3000,130,5,6000,1,82.64
1174,5000,340,10,5000,1,36.26
1177,3000,160,0,12000,1,122.19
1178,1000,50,0,2500,1,33.06
1179,3000,336,0,7000,1,89.26
1180,6000,204,0,15000,1,36.36
1181,6500,230,20,12000,1,26.45
1182,2000,90,0,12000,1,56.2
1183,2000,200,5,3500,1,62.37
1184,1000,50,2,3000,1,19.83
1185,4000,320,60,15000,1,95.87
1186,1000,60,3,7000,1,19.83
1187,3000,320,8,3000,1,75.65
1188,1000,75,2,3000,1,23.14
1190,3000,150,10,8000,-1,26.45
1191,3000,160,0,7000,1,66.12
1192,2000,160,17,5000,1,40.38
1193,1200,50,1,2000,1,23.6
1194,2000,160,5,0,1,59.5
1195,4000,210,0,3500,1,80.93
1196,3000,220,30,4000,1,66.0
1197,6720,407,11,15000,1,26.45
1198,3000,285,0,5000,1,52.89
1199,1000,105,5,3500,1,33.06
1200,1000,95,40,0,-1,26.45
1201,3000,240,40,6500,1,49.59
1202,100,35,0,1300,1,33.06
1204,2000,115,0,0,1,23.1
1205,3500,150,0,6000,1,33.1
1206,2000,180,0,0,1,54.0
1208,4000,200,7,2000,1,49.6
1209,4500,260,0,3000,1,83.37
1210,2000,180,20,4000,1,89.26
1211,1000,100,10,4500,1,79.3
1212,2000,165,15,12000,2,96.0
1213,2000,170,5,0,1,59.5
1215,3000,230,0,3000,1,148.76
1216,2000,180,2,8000,1,89.2
1217,1000,60,0,1000,1,19.83
1218,1000,65,3,2900,1,42.98
1219,4000,180,10,7000,1,49.0
1220,1000,70,0,5000,1,13.22
1221,8000,750,30,0,1,82.6
1223,500,60,0,4100,1,29.75
