,보증금액,월세금액,관리금액,권리금,층,면적
1224,2500,130,5,5000,2,89.26
1225,5000,378,0,8000,1,76.03
1226,2000,110,5,6000,1,29.8
1227,500,50,5,1500,1,66.1
1228,3000,220,25,5000,1,39.57
1229,4500,369,3,10000,1,13.22
1230,3000,150,0,2500,1,66.12
1231,2000,140,0,2500,1,46.28
1232,1000,70,9,3500,1,49.59
1233,2500,190,10,0,1,23.1
1234,2000,260,20,8000,1,62.56
1235,1000,93,0,3500,1,26.45
1236,5000,310,0,11000,1,82.64
1237,4100,195,0,13000,1,62.81
1238,1000,88,2,3500,2,92.56
1239,4000,270,30,4000,1,92.56
1240,3000,150,2,2000,2,89.67
1243,2000,150,7,7000,1,49.59
1244,1000,70,4,700,1,12.0
1245,1500,90,10,0,1,19.8
1246,2000,170,0,0,1,34.0
1247,3000,340,20,10000,1,99.17
1248,1000,60,3,1900,1,39.67
1250,2000,200,14,10000,1,49.59
1251,500,60,0,2100,-1,82.64
1252,1000,60,0,3000,1,33.06
1253,3500,280,45,5000,1,35.6
1254,9000,430,20,9000,1,125.62
1255,2500,88,0,3000,2,76.03
1256,2000,170,0,8000,1,99.17
1257,1000,70,0,15000,-1,82.64
1258,2000,140,12,4000,2,99.17
1259,2000,200,20,10000,1,46.28
1260,5700,250,0,15000,1,37.19
1261,3000,300,0,5000,1,46.4
1263,5000,465,75,0,1,82.6
1264,1000,50,0,2000,1,19.83
1265,3000,210,0,0,1,36.27
1267,1000,60,0,4000,1,39.67
1268,1000,30,7,1000,1,16.53
1269,2000,104,0,2500,1,26.45
1270,5000,400,0,6500,1,66.12
1271,3000,200,0,3000,1,56.2
1272,1000,100,40,10000,-1,89.26
1273,3000,231,32,8500,1,59.5
1275,2000,130,5,0,1,54.9
1276,1000,140,2,5000,1,13.22
1278,3000,250,12,0,1,27.34
1279,1000,80,8,3000,1,29.75
1280,1000,70,0,5000,1,29.75
1281,5000,250,0,15000,1,99.17
1282,3500,280,0,8000,1,79.34
1283,2000,180,0,5000,1,52.89
1284,2000,150,0,6000,-1,66.12
1285,2000,80,0,2500,1,36.36
1286,5000,400,0,2500,1,105.98
1287,3000,250,10,0,1,66.1
1289,3000,200,0,0,1,72.0
1290,1500,70,0,4500,1,39.67
1291,3000,200,20,4500,1,58.38
1293,5000,250,10,6000,1,39.67
1294,1000,80,3,2500,1,36.36
1295,1000,120,0,19000,1,39.67
1296,1000,60,0,1800,1,26.45
1297,1000,65,0,900,-1,26.45
1298,2000,100,25,1500,-1,19.83
1299,1000,90,5,4000,1,26.45
1301,4000,200,70,5000,-1,33.06
1302,2000,230,0,0,1,66.1
1303,5000,450,23,3000,1,61.2
1304,2000,100,0,2000,1,39.67
1305,4000,350,15,16000,1,33.06
1306,3000,90,0,4000,1,29.75
1307,2000,150,15,1000,1,56.2
1308,2000,160,80,4000,1,40.94
1309,4000,210,8,3000,1,25.0
1310,2000,115,0,8000,1,23.14
1311,8000,420,0,19000,2,66.68
1312,5000,320,30,10000,1,42.98
1313,2000,100,0,1000,1,39.67
1314,0,0,35,0,2,102.59
1315,1000,80,8,2500,1,29.8
1316,8500,400,8,5000,1,46.3
1318,4000,270,0,0,2,64.12
1319,5000,300,0,5000,1,135.5
1320,2000,270,0,0,1,66.1
1321,3100,135,0,7000,1,19.83
1322,2000,150,5,1200,2,46.28
1324,5000,400,0,2500,1,35.04
1325,6000,220,0,13000,2,62.81
1327,7000,300,10,5000,1,52.39
1329,1000,120,0,2900,1,23.0
1330,1000,80,5,700,1,9.9
1331,2000,170,10,3500,-1,36.36
1332,1500,80,0,2000,1,26.45
1336,2000,95,0,6000,1,33.06
1337,1000,60,0,4500,1,10.0
1338,3150,230,23,0,1,19.8
1340,1500,169,3,3000,1,23.14
1341,5000,270,24,3000,1,43.0
1342,1000,95,8,2000,1,23.1
1343,2000,200,43,5000,1,33.06
1344,3000,250,30,5000,1,52.89
1345,2500,190,10,0,1,26.4
1346,1000,45,0,1000,1,23.14
1347,2000,110,5,1500,-1,51.44
1349,2500,190,10,0,1,33.1
1350,1000,60,0,1200,1,29.75
1352,5000,450,50,0,2,66.1
1353,1500,110,5,0,1,36.4
1354,2000,130,15,0,2,42.2
1355,1000,90,5,1500,1,23.14
1356,1000,100,4,0,1,19.83
1358,4000,230,0,15000,1,43.0
1360,500,60,5,8000,1,9.92
1361,2000,90,4,2700,1,19.83
1362,5000,300,30,13000,1,62.81
1363,1000,100,0,2300,1,79.34
1364,2000,120,5,2000,-1,56.2
1365,2500,190,10,0,1,36.4
1366,3000,270,10,3500,1,92.56
1367,5000,430,8,1500,-1,112.4
1368,3000,240,5,0,2,92.56
1369,5000,450,0,6000,1,106.25
1370,3000,200,30,5000,2,42.59
1371,1000,100,0,4000,-1,84.69
1372,2000,150,3,12000,1,52.89
1373,5000,500,20,10000,1,82.64
1374,2000,80,0,2000,1,31.2
1375,2000,180,20,2000,2,90.0
1377,6000,550,0,5000,1,135.54
1381,5000,350,30,0,1,119.0
1382,1000,80,0,1500,1,26.4
1385,5000,368,17,14000,1,105.79
1386,2000,210,20,15000,1,39.67
1387,2000,190,9,3500,1,49.59
1388,3000,253,0,5000,1,66.12
1389,2000,250,0,10000,1,69.42
1390,3000,200,0,17000,1,33.06
1391,4000,200,1,6000,1,56.2
1392,2000,180,10,7000,2,105.24
1393,8000,610,30,0,1,165.22
1394,3000,180,15,1000,1,29.4
1395,3000,330,0,0,1,26.4
1396,3000,220,50,5000,1,42.98
1397,0,0,26,0,2,32.97
1398,2000,130,7,0,1,28.1
1399,2500,200,7,3000,1,92.6
1400,1500,150,10,5000,1,16.53
1401,3000,180,10,5000,1,56.2
1402,1000,120,0,2500,1,46.3
1403,2000,170,0,6000,-1,92.56
1404,2000,60,1,5000,1,33.06
1405,1000,95,0,3500,1,30.0
1406,5000,443,70,9000,1,76.03
1407,1000,153,0,4500,1,59.4
1408,3000,300,25,15000,-1,105.79
1409,5000,150,10,12000,1,66.12
1410,2000,170,45,3000,1,46.28
1411,8000,290,50,12000,1,49.59
1412,4000,300,30,0,1,76.0
1413,3000,160,30,3000,1,59.5
1414,4000,240,60,6000,-1,42.98
1415,1000,110,4,3000,1,36.36
1416,3000,100,0,2800,1,23.14
1417,1000,90,2,1500,-1,20.0
1418,1000,110,0,3000,1,14.0
1419,4000,300,5,10000,2,82.64
1420,2000,150,0,4000,1,56.68
1421,2500,120,5,11000,1,42.98
1422,1500,70,1,1500,1,25.92
1423,3000,198,0,4000,-1,66.12
1424,8000,650,0,4000,1,136.48
1425,2700,232,30,4000,1,49.6
1428,3000,190,0,2000,1,50.14
1429,5000,250,70,0,1,43.0
1430,2000,150,0,700,2,39.0
1431,3000,200,5,0,1,35.0
1432,3000,280,15,6000,1,92.56
1433,4000,200,0,1500,1,49.59
1434,1000,120,8,0,1,33.1
1435,3000,150,0,5000,-1,49.59
1436,6000,100,18,5000,1,33.06
1437,3000,250,0,9000,1,61.02
1438,2000,183,8,4000,1,26.45
1439,1000,80,7,2000,1,26.45
1441,5000,230,40,4500,1,16.53
1442,2000,77,2,2000,1,26.45
1444,5000,400,20,16000,1,82.64
1445,5000,380,10,10000,1,80.68
1446,3000,185,50,5000,1,26.45
1447,5000,250,70,15000,1,49.6
1449,2000,100,4,3500,1,36.36
1450,8000,800,80,10000,2,105.8
1451,2000,130,5,3000,1,39.67
1452,8000,800,80,10000,1,105.8
1453,5000,400,15,11000,1,82.64
1454,2000,140,5,4000,1,26.45
1455,3000,150,0,2000,1,72.73
1456,2000,140,0,3000,-1,66.12
1457,1000,90,20,4000,1,22.7
1458,2500,130,50,5000,1,23.14
1459,3500,150,0,13000,1,66.12
1460,3000,230,25,3000,-1,26.45
1461,2000,120,4,8000,-1,32.49
1464,4460,300,50,10000,-1,231.4
1465,1000,70,0,1200,1,33.06
1466,3000,140,0,4000,2,76.03
1467,2000,160,0,8000,1,33.06
1468,7000,600,0,10000,1,119.01
1470,4000,210,40,3000,1,43.0
1471,3000,150,5,3000,-1,29.75
1473,1000,100,0,1000,1,26.45
1474,4000,300,25,12000,1,66.12
1475,3000,120,0,700,1,39.67
1477,2000,140,10,0,1,46.3
1478,3000,210,5,2000,1,50.0
1479,3000,160,14,3500,1,66.12
1480,5000,500,65,4000,1,40.34
1481,2000,150,10,2800,1,35.0
1482,1100,200,0,4000,1,39.67
1483,1000,60,0,2500,1,19.83
1485,5000,230,35,6000,1,49.59
1486,2000,200,10,0,1,35.37
1487,2000,55,0,3000,1,36.4
1488,6000,600,0,10000,1,234.71
1489,1000,100,5,0,1,38.06
1493,5000,500,50,5000,-1,175.0
1494,4000,350,0,15000,1,62.81
1495,5000,230,25,2500,1,42.32
1497,6000,600,60,0,1,66.1
1498,500,45,3,1000,1,19.83
1499,3000,210,30,0,-1,37.9
1500,8000,600,30,500,1,165.29
1501,300,30,0,2000,1,23.14
1502,2000,240,0,5000,1,59.5
1504,2000,160,0,2000,1,102.48
1505,5000,450,65,8000,1,62.81
1506,1000,85,3,2400,1,26.45
1507,1000,70,1,0,1,23.1
1508,1000,80,1,2800,1,29.75
1509,4000,264,25,5000,1,59.2
1510,2000,120,7,10000,1,33.06
1512,2000,110,0,5000,1,59.5
1513,2000,115,30,3800,1,36.36
1514,7000,320,15,0,1,36.4
1517,2500,150,5,6000,1,56.2
1518,1000,70,1,3000,1,41.0
1519,1000,70,0,2800,1,27.31
1520,500,60,0,3500,1,13.22
1521,3000,160,20,5000,1,33.06
1522,1000,55,0,3000,1,19.83
1523,1500,70,0,3000,1,49.59
1524,1000,100,0,3500,1,36.36
1525,3000,130,0,4000,1,42.98
1526,500,70,5,2000,1,7.92
1527,6000,210,60,3300,1,33.06
1529,2000,140,10,11000,1,105.79
1530,5000,202,47,5000,1,52.9
1531,5000,315,40,7000,1,33.06
1533,2000,330,40,2500,1,42.98
1534,1500,120,0,4500,1,42.98
1535,5000,430,20,0,1,93.81
1537,2000,118,10,0,-1,40.07
1538,3000,200,20,6000,1,32.47
1540,500,65,5,2000,1,16.5
1541,1000,140,10,2000,1,33.06
1542,3000,165,40,7000,1,66.12
1543,3000,300,0,17000,1,64.17
1546,2000,126,5,4000,1,49.59
1547,7000,700,0,0,1,142.1
1549,5000,250,11,5000,1,29.75
1550,5000,312,7,15000,1,59.5
1551,2000,142,10,10000,1,46.28
1552,1000,120,4,3000,1,33.06
1553,6800,700,100,15000,1,59.0
1554,4000,220,15,8000,1,45.36
1555,1000,230,0,13000,1,39.67
1556,2000,170,5,7000,1,36.36
1557,1500,110,2,4000,1,9.92
1558,2000,105,3,10000,1,66.12
1559,3000,95,6,5000,1,39.67
1560,1500,80,0,3500,-1,56.6
1561,2500,250,25,5500,1,33.06
1563,1000,75,10,4000,1,19.83
1564,3000,145,10,10000,1,46.28
1565,3000,200,0,5000,1,99.17
1566,1500,200,7,8000,1,109.09
1570,2500,115,0,4500,1,46.28
1571,1000,80,0,1000,1,33.06
1572,500,45,8,0,1,22.62
1574,1000,80,3,3000,1,49.0
1575,5000,399,58,8000,1,158.68
1576,3000,200,0,0,1,86.61
1577,3000,180,0,0,2,86.61
1578,2700,194,33,1400,-1,14.55
1580,1500,150,30,3000,1,26.45
1582,5000,340,50,15000,1,46.28
1584,1000,35,2,10000,-1,78.0
1585,1000,110,0,3000,1,59.5
1586,2200,190,20,2500,1,62.81
1587,1000,65,5,3000,1,28.7
1588,300,170,5,0,1,25.42
1589,2000,150,0,8000,1,66.1
1592,3000,140,6,7000,1,39.67
1593,2000,85,0,2000,1,19.83
1594,2000,187,50,10000,1,16.53
1595,2000,100,50,5500,-1,33.06
1596,2500,50,0,3000,1,33.06
1597,2000,120,2,3000,1,52.89
1598,3000,200,10,0,1,33.1
1599,1500,100,10,4500,1,26.45
1600,2000,170,0,700,1,49.6
1602,5000,400,15,4500,1,66.12
1603,3000,150,0,8000,1,29.75
1604,7000,333,15,1000,1,102.77
1605,5000,200,20,13000,1,66.12
1606,2000,130,7,0,1,33.1
1607,2000,150,35,2500,1,44.58
1608,500,53,4,0,1,16.0
1609,5000,360,0,0,1,56.2
1610,3000,250,50,8000,1,36.36
1611,1000,60,0,0,1,29.8
1612,3000,180,1,2000,1,42.98
1613,5000,215,80,15000,-1,54.8
1615,4200,400,80,16500,1,99.17
1616,2000,220,0,8000,1,57.26
1617,2000,120,0,6000,-1,54.84
1618,2000,75,0,3000,1,23.14
1619,1500,85,2,6000,1,46.28
1620,5000,500,50,0,1,148.8
1622,0,0,20,0,1,52.89
1623,2000,150,4,2500,1,33.06
1625,9000,650,280,10000,1,82.64
1626,2000,320,0,0,1,59.5
1627,3000,220,8,0,1,49.6
1628,1000,80,0,5000,1,28.0
1629,7000,700,0,0,1,146.02
1630,1000,70,0,5000,1,33.06
1631,2000,168,0,8000,1,52.9
1632,3000,180,10,8000,1,16.53
1634,7000,470,0,10000,1,56.2
1635,3000,290,17,0,1,45.6
1636,1000,75,5,0,1,33.1
1638,5000,400,10,0,1,94.21
1639,1500,120,0,4000,1,33.1
1640,2500,240,0,3000,2,66.1
1641,2500,190,10,0,1,33.1
1642,2000,110,10,3000,1,33.1
1643,2000,180,0,0,1,36.4
1644,3000,270,15,0,2,109.1
1645,7000,220,1,7000,1,26.45
1646,1500,110,0,2500,1,33.69
1647,500,40,0,3500,1,19.83
1648,5000,280,10,10000,1,66.12
1649,5000,210,50,10000,1,42.98
1650,1000,110,2,9500,1,66.12
1651,1000,80,0,1500,1,33.1
1653,2000,280,6,0,2,108.64
1654,1000,84,3,2500,2,62.96
1655,2000,160,0,12000,1,74.15
1656,5000,350,20,5000,1,82.64
1657,2000,130,0,0,1,29.52
1658,0,0,0,0,1,29.52
1659,1000,130,3,6000,1,33.06
1660,2000,170,35,5000,1,26.45
1661,5000,270,3,5000,1,66.12
1662,2000,160,0,3500,1,33.06
1663,2000,100,6,7000,1,42.98
1664,4000,230,45,3000,1,26.45
1665,3000,200,10,15000,1,56.2
1667,500,65,10,2500,1,11.21
1668,5000,450,0,0,1,82.6
1669,2000,200,10,2500,1,66.1
1670,1000,80,0,3500,1,33.1
1671,2000,100,0,5000,1,36.36
1672,3000,250,50,5800,-1,66.12
1673,1300,130,2,5000,1,39.67
1675,2000,100,3,5500,1,46.28
1676,3000,264,0,11000,2,99.17
1677,2100,120,0,6600,1,19.83
1678,5000,130,15,3600,1,42.98
1679,3000,230,20,0,1,46.3
1680,3000,200,10,0,1,88.64
1682,4434,443,61,0,1,47.29
1683,1000,70,20,6000,2,42.98
1684,1000,160,10,15000,1,42.98
1685,2000,100,0,1500,1,36.36
1686,5000,290,22,10000,1,82.64
1687,600,60,7,1800,1,19.83
1688,3000,130,0,2000,-1,46.28
1689,2000,101,0,3500,1,29.75
1690,3000,320,10,6000,1,132.23
1691,1500,110,5,1500,1,23.14
1692,1500,88,50,4500,-1,26.45
1693,2850,126,0,4500,1,33.06
1694,1000,115,10,1000,1,16.53
1695,3000,150,0,8000,1,81.36
1696,1000,150,0,5000,1,45.0
1700,3000,275,35,10000,1,155.37
1701,3000,280,0,5000,1,161.98
1702,3000,210,15,0,1,46.3
1703,2000,110,0,5000,1,60.0
1704,3000,150,0,0,-1,46.3
1705,1000,80,20,1500,1,26.45
1706,8000,570,0,0,1,104.0
1707,1000,80,1,3500,1,23.0
1708,1000,70,0,0,1,26.4
1710,2000,210,60,18000,1,42.98
1711,1000,60,0,2300,1,29.75
1712,900,57,0,2000,-1,59.5
1713,1000,60,4,4500,1,26.45
1714,2000,67,25,10000,1,24.75
1715,1500,50,0,10500,1,33.06
1716,3000,230,25,5000,1,39.57
1717,3000,210,20,2000,1,66.12
1718,2000,121,0,2000,2,66.44
1719,1000,70,0,0,1,49.6
1720,2000,300,15,2000,2,64.8
1721,1000,80,0,4000,2,30.0
1722,2000,120,0,2000,1,37.96
1723,3000,303,50,10000,1,33.06
1724,1000,60,0,2500,1,33.06
1725,3000,280,40,6000,1,66.12
1727,3000,140,10,4000,1,33.1
1728,1000,87,2,5500,1,29.7
1729,1500,140,0,0,1,18.8
1730,1000,75,4,2500,1,26.45
1731,2000,100,0,6500,1,29.34
1732,3500,500,50,13000,2,146.0
1734,3000,80,6,2000,1,42.98
1738,3000,160,0,4500,1,72.0
1740,3000,300,0,0,2,89.3
1741,5500,250,0,10000,1,82.64
1742,3000,190,10,0,1,33.1
1743,2000,170,0,0,1,43.0
1745,6000,600,60,0,1,66.1
1746,2000,85,0,2000,1,9.92
1747,5000,230,0,5500,1,19.8
1748,2000,110,0,2500,1,33.1
1749,5000,230,10,0,1,30.15
1750,8000,550,20,15000,1,231.4
1752,2000,100,2,7000,1,59.5
1755,4000,170,60,4000,1,33.06
1756,1000,110,0,4000,1,49.59
1757,2000,120,45,2500,1,34.48
1758,3000,120,10,3000,1,26.45
1759,2000,100,3,0,1,36.4
1760,5000,500,60,3000,1,141.008
1761,3000,200,0,0,1,36.27
1762,1200,125,5,0,1,26.4
1763,1000,135,0,2300,1,39.6
1764,1000,150,0,11000,1,72.73
1765,2000,210,15,8000,1,44.06
1766,2000,220,60,10000,1,29.75
1768,5000,358,24,5000,1,70.2
1769,2000,150,10,0,1,29.8
1770,1000,70,0,1000,1,29.8
1771,5000,300,10,14000,1,92.16
1772,6000,400,40,0,1,179.7
1773,1000,55,5,2000,1,32.45
1774,2000,130,5,4500,1,28.44
1775,2000,130,5,4500,1,76.4
1776,5000,400,45,4000,1,48.0
1777,0,0,0,0,1,69.33
1778,3000,165,20,5000,-1,167.46
1779,2000,120,13,2500,1,33.06
1780,3000,245,0,3000,1,26.45
1781,2000,115,5,2000,1,42.98
1782,9000,450,30,10000,1,82.64
1783,3150,273,25,16000,1,87.78
1785,2000,100,3,5500,1,46.28
1787,5000,390,20,0,1,59.5
1788,2000,150,10,0,1,43.7
1789,2000,148,45,13000,1,89.26
1790,3000,250,8,15000,1,125.62
1791,5000,390,20,0,1,46.3
1792,4500,200,10,2000,1,25.5
1794,2000,160,18,3000,1,56.2
1797,5000,500,60,0,1,73.0
1799,7000,350,20,4500,1,72.7
1802,5000,460,20,0,1,119.52
1804,2000,180,8,1,1,20.89
1805,500,40,35,2200,-1,23.14
1806,2000,138,10,2000,1,33.1
1807,3000,200,0,7000,1,162.4
1808,2000,130,10,8000,-1,28.3
1809,3000,120,15,15000,1,29.75
1810,1000,150,5,8000,1,23.0
1811,3000,180,0,12000,1,99.17
1814,8000,350,0,0,1,115.7
1816,1000,180,0,4500,1,42.7
1817,0,0,0,3000,-1,100.33
1818,1000,55,0,2150,1,19.83
1820,1500,120,7,0,1,33.1
1821,4000,190,60,3000,1,43.93
1822,3000,214,18,18000,1,46.28
1823,4000,375,0,6000,1,132.23
1824,3000,200,0,3500,1,129.0
1825,2000,160,0,0,1,83.7
1826,4000,340,0,3000,1,59.5
1828,3000,210,15,0,1,43.0
1830,1000,75,0,5000,1,19.83
1831,1000,120,7,4500,1,33.06
1833,6600,335,0,1500,-1,158.68
1834,3000,152,0,6500,1,30.0
1835,8000,260,20,9000,1,52.41
1836,1000,70,30,7000,-1,35.53
